Nâng cấp bắt đầu: 16:14:45_08-06-2016
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/upload/imglist.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/upload/moveimg.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/webtools/checkupdate.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/webtools/deleteupdate.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/webtools/getupdate.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/css/font-awesome.min.css | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/css/rss.xsl | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/css/sitemap.xsl | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/css/sitemapindex.xsl | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/ckeditor.js | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/contents.css | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/colordialog/dialogs/colordialog.css | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/colordialog/dialogs/colordialog.js | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/find/dialogs/find.js | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/plugins/table/dialogs/table.js | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog.css | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_ie.css | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_ie7.css | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_ie8.css | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_iequirks.css | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor.css | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_gecko.css | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_ie.css | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_ie7.css | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_ie8.css | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_iequirks.css | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/fonts/FontAwesome.otf | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/fonts/fontawesome-webfont.eot | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/fonts/fontawesome-webfont.svg | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/fonts/fontawesome-webfont.ttf | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/fonts/fontawesome-webfont.woff | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/fonts/fontawesome-webfont.woff2 | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/js/jquery/additional-methods.min.js | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/js/jquery/jquery.Jcrop.min.css | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/js/jquery/jquery.Jcrop.min.js | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/js/jquery/jquery.flash.js | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/js/jquery/jquery.imgpreload.min.js | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/js/jquery/jquery.lazyload.min.js | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/js/jquery/jquery.min.js | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/js/jquery/jquery.treeview.css | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/js/jquery/jquery.treeview.min.js | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/js/jquery/jquery.validate.min.js | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/js/jquery/jquery.watermarker.js | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/js/jquery-ui/images/index.html | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/js/jquery-ui/images/ui-icons_444444_256x240.png | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/js/jquery-ui/images/ui-icons_555555_256x240.png | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/js/jquery-ui/images/ui-icons_777620_256x240.png | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/js/jquery-ui/images/ui-icons_777777_256x240.png | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/js/jquery-ui/images/ui-icons_cc0000_256x240.png | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/js/jquery-ui/images/ui-icons_ffffff_256x240.png | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/js/jquery-ui/index.html | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/js/jquery-ui/jquery-ui.min.css | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/js/jquery-ui/jquery-ui.min.js | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/js/jquery-ui/jquery-ui.structure.min.css | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/js/jquery-ui/jquery-ui.theme.min.css | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/js/select2/i18n/en.js | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/js/select2/i18n/fr.js | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/js/select2/i18n/vi.js | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/js/select2/select2.min.css | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/js/select2/select2.min.js | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/js/upload.js | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/tpl/.htaccess | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/tpl/dump.tpl | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/tpl/flood_blocker.tpl | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file assets/tpl/rss.tpl | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file composer.json | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/action_mysql.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/constants.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/core/admin_access.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/core/admin_functions.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/core/admin_login.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/core/admin_logout.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/core/dump.php | SUCCESS
